fuel_type,gearbox,mileage [km],model,name,place,price [pln],seller_type,year,engine_capacity [cm3],horsepower [km],additional_specification,is_gearbox_automatic,region
Benzyna,Automatyczna,49702,Lincoln,Lincoln Aviator,Rzeszów (Podkarpackie),259900,Anonimowy sprzedawca,2019,2995,406,Lincoln Aviator 4X4 AWD FAKTURA VAT 23%,1,Podkarpackie
Benzyna,Automatyczna,82550,Lincoln,Lincoln Navigator,Gdańsk (Pomorskie),336500,Anonimowy sprzedawca,2019,3500,450,"UWAGA: NIŻSZA CENA PRZEZ 2 TYG. Jeden właściciel, bezwypadkowy",1,Pomorskie
Benzyna,Automatyczna,132765,Lincoln,Lincoln Inny,Olsztyn (Warmińsko-mazurskie),56000,Prywatny sprzedawca,2016,1999,240,"Lincoln MKC, 2016 r., silnik 2,0 ecobost, napęd na 4 koła (AWD)",1,Warmińsko-mazurskie
Benzyna,Automatyczna,9800,Lincoln,Lincoln Navigator,Łódź (Łódzkie),549000,Prywatny sprzedawca,2022,3496,450,Lincoln Navigator Black Label L 2022r.,1,Łódzkie
Hybryda Plug-in,Automatyczna,100,Lixiang,Lixiang L7,Suwaki (Mazowieckie),289000,Prywatny sprzedawca,2024,1495,180,Brak dodatkowych informacji,1,Mazowieckie
Hybryda Plug-in,Automatyczna,50000,Lixiang,Lixiang L9,Poznań (Wielkopolskie),350000,Anonimowy sprzedawca,2022,1500,400,Brak dodatkowych informacji,1,Wielkopolskie
Benzyna,Manualna,10000,Lotus,Lotus Elan,Owińska (Wielkopolskie),69000,Prywatny sprzedawca,1965,1500,80,Lotus Elan,0,Wielkopolskie
Benzyna,Automatyczna,5,Lotus,Lotus Emira,Warszawa (Mazowieckie),470355,Anonimowy sprzedawca,2024,1991,365,Lotus Emira First Edition 2.0 AMG Cosmos Black / Black Alcantara,1,Mazowieckie
Benzyna,Automatyczna,5,Lotus,Lotus Emira,Warszawa (Mazowieckie),470355,Anonimowy sprzedawca,2024,1991,365,Lotus Emira First Edition 2.0 AMG Meridian Blue / Tan Nappa,1,Mazowieckie
Benzyna,Automatyczna,5,Lotus,Lotus Emira,Warszawa (Mazowieckie),470355,Anonimowy sprzedawca,2024,1991,365,Lotus Emira First Edition 2.0 AMG Shadow Grey / Ice Grey Nappa,1,Mazowieckie
Benzyna,Manualna,80000,Lotus,Lotus Elite,Bielany Wrocławskie (Dolnośląskie),39000,Anonimowy sprzedawca,1975,1973,162,Lotus Elite / zarejestrowany / ZAMIANA /,0,Dolnośląskie
Benzyna,Manualna,86000,Lotus,Lotus Elan,Miedziana Góra (Świętokrzyskie),33900,Anonimowy sprzedawca,1996,1600,162,Limited Edition 573 Okazja !,0,Świętokrzyskie
Diesel,Manualna,268000,Lynk &amp; Co,Peugeot 508 2.0 HDi Active,Suwałki (Podlaskie),24900,Prywatny sprzedawca,2014,1997,140,Peugeot 508 2.0 HDi,0,Podlaskie
Benzyna+LPG,Manualna,218300,Lynk &amp; Co,Hyundai Tucson 2.0 Comfort 2WD,Tomaszów Mazowiecki (Łódzkie),18800,Prywatny sprzedawca,2006,1975,141,Hyundai Tucson z nową instalacja gazowa,0,Łódzkie
Diesel,Manualna,138000,Lynk &amp; Co,Nissan Qashqai 1.5 dCi N-Vision EU6,Zwoleń (Mazowieckie),55900,Prywatny sprzedawca,2017,1461,110,Stan idealny,0,Mazowieckie
Benzyna,Automatyczna,179000,Lynk &amp; Co,Chevrolet Camaro Coupe 6.2 V8,Płock (Mazowieckie),134900,Prywatny sprzedawca,2016,6162,453,Chevrolet Camaro SS 6.2 V8 AWE Exhaust ZL1 Style,1,Mazowieckie
Diesel,Automatyczna,152400,Lynk &amp; Co,Volkswagen Caddy 2.0 TDI DSG,Łochów (Mazowieckie),105000,Prywatny sprzedawca,2020,1968,150,"Alltrack kupiony w polskim salonie ,pierwszy właściciel, bezwypadkowy.",1,Mazowieckie
Diesel,Manualna,212432,Lynk &amp; Co,Ford Galaxy 2.0 TDCi Platinium X (Titanium),Wodzisław Śląski (Śląskie),37900,Prywatny sprzedawca,2014,1997,163,Ford Galaxy 2.0 TDCI bezwypadkowy,0,Śląskie
